TaskID,Input1,Output1_1
0,0,99.0
0,2,89.0
0,3,84.0
0,5,77.0
0,7,69.0
0,8,66.0
0,9,62.0
1,0,105.0
1,3,125.0
1,4,106.0
1,5,103.0
1,6,128.0
1,8,75.0
1,9,68.0
1,10,60.0
1,11,115.0
2,0,90.0
2,2,77.0
2,3,73.0
2,5,67.0
2,6,64.0
2,7,61.0
2,8,58.0
2,9,54.0
2,13,39.0
3,0,95.0
3,2,68.0
3,3,61.0
3,4,54.0
3,5,135.0
3,6,148.0
3,7,148.0
3,8,142.0
4,0,90.0
4,2,60.0
4,4,52.0
4,6,44.0
4,7,40.0
4,8,117.0
4,9,122.0
4,10,194.0
4,11,197.0
4,13,47.0
5,0,100.0
5,2,98.0
5,3,93.0
5,4,87.0
5,5,83.0
5,6,131.0
5,7,171.0
6,0,90.0
6,4,87.0
6,5,83.0
6,6,79.0
6,7,75.0
6,8,71.0
6,10,67.0
6,11,58.0
6,12,54.0
6,13,50.0
7,0,96.0
7,2,65.0
7,3,60.0
7,5,119.0
7,6,96.0
7,7,59.0
7,8,55.0
7,11,118.0
7,12,130.0
7,13,119.0
8,0,91.0
8,2,87.0
8,3,119.0
8,4,83.0
8,5,111.0
8,6,72.0
8,7,67.0
8,8,91.0
8,9,66.0
8,10,59.0
9,0,104.0
9,2,124.0
9,3,81.0
9,4,73.0
9,5,63.0
9,6,110.0
9,7,101.0
9,8,135.0
9,9,120.0
9,10,73.0
10,0,94.0
10,2,68.0
10,3,64.0
10,4,60.0
10,5,56.0
10,6,115.0
10,7,90.0
10,8,150.0
10,9,171.0
11,0,90.0
11,2,146.0
11,3,121.0
11,4,163.0
11,5,120.0
11,6,99.0
11,7,81.0
11,8,63.0
11,9,48.0
11,10,148.0
12,0,91.0
12,2,43.0
12,3,40.0
12,4,37.0
12,5,33.0
12,6,29.0
12,7,25.0
12,8,105.0
12,9,89.0
12,10,138.0
12,11,162.0
12,12,150.0
13,0,90.0
13,3,66.0
13,5,60.0
13,6,55.0
13,7,112.0
13,8,114.0
13,9,141.0
13,10,150.0
14,0,104.0
14,3,114.0
14,5,131.0
14,7,109.0
14,8,89.0
14,9,78.0
14,11,82.0
15,0,104.0
15,3,62.0
15,5,127.0
15,6,146.0
15,7,151.0
15,8,149.0
15,9,61.0
15,10,51.0
16,0,93.0
16,2,123.0
16,3,129.0
16,4,58.0
16,5,59.0
16,6,48.0
16,7,117.0
16,9,94.0
16,10,117.0
16,11,64.0
16,13,107.0
17,0,101.0
17,2,87.0
17,3,83.0
17,4,79.0
17,5,75.0
17,6,70.0
17,7,66.0
17,8,62.0
17,9,58.0
18,0,93.0
18,2,46.0
18,3,41.0
18,4,37.0
18,5,137.0
18,6,98.0
18,7,155.0
18,8,158.0
18,9,150.0
18,10,88.0
18,12,78.0
19,0,99.0
19,2,94.0
19,3,99.0
19,4,116.0
19,5,79.0
19,6,74.0
19,7,119.0
19,9,92.0
19,11,70.0
20,0,105.0
20,2,64.0
20,3,60.0
